Canton;Candidato; Partido 
Shushufindi;Jorge Enrique Cajas Garzon;CREO
Sucumbios;Luis Armando Naranjo;Avanza
Ambato;Luis Amoroso;Avanza
Baños;Marlon Fabricio Guevara Silva;Avanza
Cevallos;Mauricio Xavier Miranda;Movimiento Ciudadano Cevallense

Mocha;Wulzon Carranza Ortiz;CREO
Patate;Medardo Chiliquinga;Pachakutik
Pelileo;Manuel Caizabanda Jerez;Pachakutik
Pillaro;Patricio Sarabia Rodríguez;SUMA
Quero;José Morales;SUMA
Tisaleo;Rodrigo Garces;Alianza PAIS
Zamora;Héctor Apolo Berru;CREO
Centinela del Cóndor;Patricio Quezada Moreno;CREO
Chinchipe;Angel Germán Pavón Romero;Pachakutik
El Pangui;Jairo Herrera;Alianza PAIS
Nangaritza;Guillermo Zhiñin;PS-FA
Palanda;Segundo Jaramillo;Movimiento Acción y Servicio

Paquisha;José Jaramillo;CREO
Yacuambi;Jorge Sarango;Pachakutik
Yantzaza;Bladimir Armijos Vivanco;CREO
